feature,score,feature_index
WRITE_CALENDAR,7236.38945387165,112
MASTER_CLEAR,6903.496656092355,113
UPDATE_DEVICE_STATS,6823.9299415496125,114
DELETE_PACKAGES,6780.049594187055,116
GET_TASKS,6641.65607655504,117
WRITE_CALL_LOG,6566.864187860556,115
SEND_SMS,6385.8726882650635,0
GLOBAL_SEARCH,4204.898824588804,118
REORDER_TASKS,3694.1770136492773,121
WRITE_USER_DICTIONARY,3626.649337478154,120
DELETE_CACHE_FILES,3533.9504592977496,119
WRITE_PROFILE,3522.6690043552107,122
SET_WALLPAPER,3511.3725516568816,123
READ_PHONE_STATE,3025.2156189420793,1
READ_SOCIAL_STREAM,2910.861483970333,125
READ_USER_DICTIONARY,2821.789710064802,126
PROCESS_OUTGOING_CALLS,2740.937927479595,127
CALL_PRIVILEGED,2716.7002741330152,128
RECEIVE_SMS,2668.8095433618996,3
READ_SMS,2388.8310857661318,4
BIND_WALLPAPER,2349.905364528247,129
GET_ACCOUNTS,2331.570801919952,2
BIND_INPUT_METHOD,2207.5047966253815,124
DUMP,1776.6331944261626,131
INTERNAL_SYSTEM_WINDOW,1647.4046634107428,185
BATTERY_STATS,1601.4151491816885,132
SET_TIME,1552.0069274601933,134
ACCESS_COARSE_LOCATION,1484.006119905037,133
WRITE_SETTINGS,1445.8955241791462,136
BLUETOOTH_ADMIN,1374.8145168645926,138
REBOOT,1344.970727191798,137
RECEIVE_WAP_PUSH,1294.5092870318292,130
WRITE_SOCIAL_STREAM,1271.6326450636827,135
BIND_DEVICE_ADMIN,1231.148315585159,139
WRITE_SMS,1158.3076744020057,7
KILL_BACKGROUND_PROCESSES,1132.48445104622,141
MANAGE_ACCOUNTS,1058.4566552979088,6
USE_CREDENTIALS,1049.0530146714063,5
WRITE_HISTORY_BOOKMARKS,936.9676678450257,10
WRITE_GSERVICES,936.8344581179795,140
PERSISTENT_ACTIVITY,931.228303824318,143
STATUS_BAR,927.0324791375756,142
INSTALL_PACKAGES,883.7229955764446,11
RECEIVE_MMS,848.2104856556908,145
READ_HISTORY_BOOKMARKS,847.5101251118728,14
CHANGE_NETWORK_STATE,829.4207781077938,144
SET_TIME_ZONE,792.0972146629504,146
READ_SYNC_SETTINGS,734.289688159711,8
CAMERA,706.6461737824064,12
CONTROL_LOCATION_UPDATES,706.5668792246116,147
BROADCAST_WAP_PUSH,629.7142871344058,148
BIND_ACCESSIBILITY_SERVICE,628.7578799807462,149
AUTHENTICATE_ACCOUNTS,628.262077566014,9
WRITE_SYNC_SETTINGS,613.6233139668487,13
ACCESS_LOCATION_EXTRA_COMMANDS,607.8693048342473,17
WRITE_APN_SETTINGS,586.6634710352516,18
BIND_APPWIDGET,573.5365773894208,152
SET_ACTIVITY_WATCHER,550.1453804353903,186
ADD_VOICEMAIL,538.401040850177,150
RECORD_AUDIO,517.932249163849,15
FLASHLIGHT,502.7252187498398,153
WRITE_CONTACTS,448.1715763377387,187
CALL_PHONE,404.6559775121295,151
MODIFY_AUDIO_SETTINGS,400.89415178180553,21
RECEIVE_BOOT_COMPLETED,394.19154198893614,25
WAKE_LOCK,389.6012179079412,24
NFC,384.70446452322386,16
RESTART_PACKAGES,383.0243242761088,26
BIND_VPN_SERVICE,375.7286620935051,188
BROADCAST_STICKY,371.26855878430365,23
DISABLE_KEYGUARD,368.49055505234094,189
BIND_REMOTEVIEWS,348.85442822981156,19
READ_LOGS,344.26262800693337,154
SET_PROCESS_LIMIT,338.5138514236403,155
READ_PROFILE,325.77219885665704,20
READ_SYNC_STATS,319.07094354224023,22
INSTALL_LOCATION_PROVIDER,279.3018915785616,158
ACCESS_MOCK_LOCATION,275.46964945546597,190
MODIFY_PHONE_STATE,268.1381011187251,192
GET_PACKAGE_SIZE,221.823805779603,191
MOUNT_UNMOUNT_FILESYSTEMS,221.823805779603,156
MOUNT_FORMAT_FILESYSTEMS,220.1591318976939,160
BLUETOOTH,216.8461781516787,27
BIND_TEXT_SERVICE,207.2697787071082,157
CHANGE_CONFIGURATION,198.2859672871232,161
CLEAR_APP_USER_DATA,197.39900138630728,163
READ_CALENDAR,195.76503799952104,28
READ_EXTERNAL_STORAGE,195.27391992399043,31
CHANGE_WIFI_STATE,184.28773985309502,164
VIBRATE,182.6657519162003,32
ACCESS_NETWORK_STATE,171.41705287527122,33
SYSTEM_ALERT_WINDOW,168.6717690916111,159
READ_FRAME_BUFFER,168.59099548615643,165
READ_CALL_LOG,146.7980556820353,29
EXPAND_STATUS_BAR,144.23415782094978,168
SUBSCRIBED_FEEDS_READ,143.3590541496225,38
ACCESS_SURFACE_FLINGER,142.97440611217277,166
SUBSCRIBED_FEEDS_WRITE,142.9124343569855,30
CHANGE_WIFI_MULTICAST_STATE,142.30266452877734,40
BROADCAST_SMS,142.22112886004487,167
